city,holdType,homeType,noBed,soldPrice,usage,postCode,soldYear,postcode,latitude,longitude
Bath, Freehold,Semi-Detached,4,487000, Residential,BA1 3LX,19,BA1 3LX,51.38944579,-2.401028988
Bath, Freehold,Semi-Detached,4,483000, Residential,BA1 6SH,19,BA1 6SH,51.39881181,-2.345813
Bath, Freehold,Semi-Detached,2,285000, Residential,BA2 1JR,19,BA2 1JR,51.37393586,-2.390161504
Bath, Freehold,Terraced,3,267000, Residential,BA2 2TB,19,BA2 2TB,51.35879893,-2.383167824
Bath, Freehold,Semi-Detached,2,250000, Residential,BA2 1DR,19,BA2 1DR,51.37945,-2.397521906
Bath, Freehold,Semi-Detached,3,252000, Residential,BA1 4DZ,19,BA1 4DZ,51.39658137,-2.394206405
Bath, Freehold,Terraced,2,170000, Residential,BA2 2TB,19,BA2 2TB,51.35879893,-2.383167824
Bath, Leasehold,Terraced,3,340000, Residential,BA1 6BP,19,BA1 6BP,51.39301982,-2.34611381
Bath, Freehold,Terraced,2,301000, Residential,BA1 4DQ,19,BA1 4DQ,51.39789218,-2.394792645
Bath, Freehold,Terraced,2,290000, Residential,BA2 3RX,19,BA2 3RX,51.38064177,-2.385304449
Bath, Freehold,Terraced,1,209000, Residential,BA1 7TT,19,BA1 7TT,51.40083831,-2.298663384
Bath, Freehold,Terraced,5,1550000, Residential,BA1 2PH,19,BA1 2PH,51.38485554,-2.363856646
Bath, Freehold,Terraced,3,290000, Residential,BA1 4BT,19,BA1 4BT,51.39554516,-2.38691
Bath, Freehold,Semi-Detached,2,595000, Residential,BA2 6AZ,19,BA2 6AZ,51.37432074,-2.3479265590000002
Bath, Freehold,Semi-Detached,3,330000, Residential,BA2 1LL,19,BA2 1LL,51.37159353,-2.396850455
Bath, Freehold,Semi-Detached,3,260000, Residential,BA2 1AR,19,BA2 1AR,51.37343616,-2.3862926730000003
Bath, Leasehold,Flat,2,187500, Residential,BA1 4DF,19,BA1 4DF,51.39668131,-2.391217524
