holdType,homeType,noBed,soldPrice,usage,latitude,longitude
1,1,4,487000,1,51.38944579,-2.401028988
1,1,4,483000,1,51.39881181,-2.345813
1,1,2,285000,1,51.37393586,-2.390161504
1,3,3,267000,1,51.35879893,-2.383167824
1,1,2,250000,1,51.37945,-2.397521906
1,1,3,252000,1,51.39658137,-2.394206405
1,3,2,170000,1,51.35879893,-2.383167824
2,3,3,340000,1,51.39301982,-2.34611381
1,3,2,301000,1,51.39789218,-2.394792645
1,3,2,290000,1,51.38064177,-2.385304449
1,3,1,209000,1,51.40083831,-2.298663384
1,3,5,1550000,1,51.38485554,-2.363856646
1,3,3,290000,1,51.39554516,-2.38691
1,1,2,595000,1,51.37432074,-2.3479265590000002
1,1,3,330000,1,51.37159353,-2.396850455
1,1,3,260000,1,51.37343616,-2.3862926730000003
2,4,2,187500,1,51.39668131,-2.391217524
1,3,6,850000,1,51.41166997,-2.3203160290000002
1,3,2,233000,1,51.39391449,-2.395793233
1,3,1,427500,1,51.38559703,-2.362511725
1,1,4,500000,1,51.39317457,-2.399207536
1,3,3,365500,1,51.39023645,-2.35968844
1,3,2,315000,1,51.37516462,-2.380172516
1,1,3,270000,1,51.3712156,-2.391589311
2,4,1,145000,1,51.36986022,-2.3962321159999997
1,3,3,289950,1,51.36918072,-2.389718839
1,2,3,373000,1,51.37338817,-2.3926135090000002
1,2,3,525000,1,51.39181314,-2.331186346
1,2,4,417500,1,51.37437203,-2.391486956
1,1,3,290000,1,51.35234264,-2.37770026
1,3,3,308000,1,51.40019558,-2.3943381180000003
1,2,2,1290000,1,51.38128339,-2.34384114
1,1,6,1050000,1,51.37592283,-2.3708544590000002
2,4,4,475000,1,51.37630482,-2.36082913
2,4,4,475000,1,51.37630482,-2.36082913
1,1,2,263000,1,51.37437203,-2.391486956
1,3,3,345000,1,51.39789994,-2.301562
1,3,5,800000,1,51.40495463,-2.323072457
1,3,2,250000,1,51.37262474,-2.373097655
1,3,2,415000,1,51.37432074,-2.3479265590000002
2,4,2,285000,1,51.40348311,-2.373435126
1,3,3,267500,1,51.35520356,-2.374420826
1,3,3,750000,1,51.39377341,-2.37019399
1,3,5,235000,1,51.3755989,-2.373754002
1,2,4,667000,1,51.40022925,-2.294174466
1,3,4,524000,1,51.39958037,-2.398113361
1,3,2,250000,1,51.38105327,-2.380451234
1,3,2,290000,1,51.37869267,-2.353275926
2,4,2,329000,1,51.38192166,-2.346935285
1,1,3,575000,1,51.36067609,-2.343270194
2,4,2,200000,1,51.3975856,-2.3950487369999998
2,4,2,322500,1,51.38765839,-2.346921214
1,2,3,550000,1,51.39485813,-2.341686385
1,3,2,235000,1,51.40019717,-2.354462303
1,1,3,186500,1,51.37872232,-2.405202549
1,1,3,320000,1,51.36894436,-2.38506255
1,3,2,290000,1,51.34920246,-2.364162714
2,1,3,296000,1,51.39314939,-2.396030961
2,3,3,332500,1,51.38020819,-2.385904287
1,3,5,345000,1,51.41088919,-2.316457216
1,2,3,419500,1,51.40025133,-2.339211
2,4,1,130000,1,51.38931678,-2.363417797
1,1,3,286000,1,51.36272226,-2.350668137
1,1,5,950000,1,51.38886,-2.380283379
1,3,4,740000,1,51.37081803,-2.3643342830000003
1,1,2,240000,1,51.37529765,-2.4022557819999997
1,2,6,1270000,1,51.36976451,-2.3676874
1,3,2,370000,1,51.37951507,-2.377866535
1,3,3,329000,1,51.40003581,-2.3937186269999997
1,1,2,270000,1,51.37368163,-2.3962507580000003
1,3,2,247000,1,51.38432238,-2.3978515430000003
2,3,3,385000,1,51.38563393,-2.379253398
1,3,2,280000,1,51.371462,-2.385515
1,3,3,418000,1,51.39772198,-2.3972635209999997
1,3,3,325000,1,51.3932757,-2.32243
2,4,1,170000,1,51.37973793,-2.3894349669999997
1,1,4,505000,1,51.35870615,-2.367225387
1,1,3,355000,1,51.36396805,-2.380754827
1,3,3,315000,1,51.40820787,-2.317128804
2,4,3,248750,1,51.39657604,-2.359536961
1,3,3,385000,1,51.36936199,-2.386574401
1,1,2,355000,1,51.3725078,-2.349809141
1,3,2,265000,1,51.39947529,-2.3493249819999997
2,1,4,596000,1,51.39547965,-2.347425989
1,3,2,404200,1,51.37834074,-2.379537916
1,1,2,325000,1,51.40231636,-2.340261324
2,2,3,405000,1,51.39618289,-2.355782371
1,1,5,770000,1,51.35987167,-2.356692846
1,2,5,925000,1,51.35297107,-2.36381925
1,2,3,485000,1,51.38823349,-2.361900244
1,2,4,740000,1,51.36141294,-2.337243375
1,1,3,260000,1,51.37013066,-2.3741547780000003
1,3,2,235500,1,51.36085652,-2.3610092590000002
2,4,2,285000,1,51.37758148,-2.369531669
2,3,4,480000,1,51.37616455,-2.365468669
1,3,4,710000,1,51.371871,-2.364518456
1,1,3,925000,1,51.3750013,-2.363649164
1,3,4,1800000,1,51.38128028,-2.347936256
1,3,2,290000,1,51.38105327,-2.380451234
1,3,3,230000,1,51.3764993,-2.40580071
2,2,4,989000,1,51.3947452,-2.364236987
